n,bmk_time,sat_time,bmk_memory,sat_memory
5,0.0000,16.0000,1.0000,962.6667
10,0.0000,29.3333,2.6667,1109.3333
15,4.6667,500.0000,16.3333,1533.3333
20,301.3333,20580.0000,670.0000,2576.0000
25,12731.3333,819317.3333,1184.6667,3898.6667
