n,bmk_time,sat_time,bmk_memory,sat_memory
5,0.0000,20.0000,1.0000,965.3333
10,0.0000,29.3333,3.3333,1118.6667
15,5.6667,500.0000,15.3333,1560.0000
20,325.0000,20577.3333,5051.6667,3021.3333
25,12641.3333,819312.0000,3295.0000,4030.6667
